symbol,name,exchange,yf_symbol
ABSLBANETF,Aditya Birla Sun Life Mutual Fund,BSE,ABSLBANETF.BO
ABSLMSCIN,Aditya Birla Sun Life Mutual Fund,BSE,ABSLMSCIN.BO
ABSLNN50ET,Aditya Birla Sun Life Mutual Fund,BSE,ABSLNN50ET.BO
ABSLPSE,Aditya Birla Sun Life Mutual Fund,BSE,ABSLPSE.BO
ABVL,Arunjyoti Bio Ventures Limited,BSE,ABVL.BO
ACC,ACC Limited,NSE+BSE,ACC.NS
ACCEDERE,ACCEDERE LIMITED,BSE,ACCEDERE.BO
ACCEL,ACCEL LIMITED,BSE,ACCEL.BO
ACCELERATE,ACCELERATEBS INDIA LIMITED,BSE,ACCELERATE.BO
ACCELYA,Accelya Solutions India Limited,NSE+BSE,ACCELYA.NS
ACCORDTS,ACCORD TRANSFORMER & SWITCHGEAR LIMITED,BSE,ACCORDTS.BO
ACCURACY,Accuracy Shipping Limited,NSE+BSE,ACCURACY.NS
ACE,Action Construction Equipment Limited,NSE+BSE,ACE.NS
ACEALPHA,Ace Alpha Tech Limited,BSE,ACEALPHA.BO
ACEINTEG,Ace Integrated Solutions Limited,NSE,ACEINTEG.NS
ACEMEN,ACE MEN ENGG WORKS LIMITED,BSE,ACEMEN.BO
ACESEPP,Ace Software Exports ltd.,BSE,ACESEPP.BO
ACESOFT,Ace Software Exports ltd.,BSE,ACESOFT.BO
ACFL,APEX CAPITAL AND FINANCE LIMITED,BSE,ACFL.BO
ACFSL,Amrapali Capital and Finance Services Limited,BSE,ACFSL.BO
ACGL,Automobile Corpn. of Goa Ltd.,BSE,ACGL.BO
ACHYUT,Achyut Healthcare Limited,BSE,ACHYUT.BO
ACI,Archean Chemical Industries Limited,NSE+BSE,ACI.NS
ACIIN,ACI Infocom Ltd.,BSE,ACIIN.BO
ACKNIT,Acknit Industries Ltd,BSE,ACKNIT.BO
ACL,Andhra Cements Limited,NSE+BSE,ACL.NS
ACLD,AELEA COMMODITIES LIMITED,BSE,ACLD.BO
ACME,Acme Resources Limited,BSE,ACME.BO
ACMESOLAR,Acme Solar Holdings Limited,NSE+BSE,ACMESOLAR.NS
ACML,ADITYA CONSUMER MARKETING LIMITED,BSE,ACML.BO
ACROW,Acrow (India) Ltd.,BSE,ACROW.BO
ACSTECH,ACS Technologies Limited,NSE+BSE,ACSTECH.NS
ACTIVE,Active Clothing Co  Limited,BSE,ACTIVE.BO
ACUTAAS,Acutaas Chemicals Limited,NSE+BSE,ACUTAAS.NS
ADANIENSOL,Adani Energy Solutions Limited,NSE+BSE,ADANIENSOL.NS
ADANIENT,Adani Enterprises Limited,NSE+BSE,ADANIENT.NS
ADANIGREEN,Adani Green Energy Limited,NSE+BSE,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE+BSE,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,NSE+BSE,ADANIPOWER.NS
ADARSHPL,Adarsh Plant Project Ltd.,BSE,ADARSHPL.BO
ADCINDIA,ADC India Communications Limited,BSE,ADCINDIA.BO
ADCON,Adcon Capital Services Limited,BSE,ADCON.BO
ADCOUNTY,ADCOUNTY MEDIA INDIA LIMITED,BSE,ADCOUNTY.BO
ADDIND,Addi Industries Ltd.,BSE,ADDIND.BO
ADESHWAR,Adeshwar Meditex Limited,BSE,ADESHWAR.BO
ADFFOODS,ADF Foods Limited,NSE+BSE,ADFFOODS.NS
ADHBHUTIN,Adhbhut Infrastructure Ltd.,BSE,ADHBHUTIN.BO
ADHHATA,ADHATA GLOBAL LIMITED,BSE,ADHHATA.BO
ADINATH,Adinath Textiles Ltd.,BSE,ADINATH.BO
ADISHAKTI,Adishakti Loha and Ispat Limited,BSE,ADISHAKTI.BO
ADITYA,Aditya Ispat Ltd.,BSE,ADITYA.BO
ADITYASP,Aditya Spinners Ltd.,BSE,ADITYASP.BO
ADL,Archidply Decor Limited,NSE+BSE,ADL.NS
ADLINE,ADLINE CHEM LAB LIMITED,BSE,ADLINE.BO
