symbol,name,exchange,yf_symbol
COMRADE,Comrade Appliances Limited,BSE,COMRADE.BO
COMSYN,Commercial Syn Bags Limited,NSE+BSE,COMSYN.NS
CONART,Conart Engineers Ltd.,BSE,CONART.BO
CONCOR,Container Corporation of India Limited,NSE+BSE,CONCOR.NS
CONCORD,Concord Drugs Limited,BSE,CONCORD.BO
CONCORDBIO,Concord Biotech Limited,NSE+BSE,CONCORDBIO.NS
CONFIPET,Confidence Petroleum India Limited,NSE+BSE,CONFIPET.NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,NSE,CONSOFINVT.NS
CONSTRONIC,CONSTRONICS INFRA LIMITED,BSE,CONSTRONIC.BO
CONSUMER,Mirae Asset Mutual Fund,BSE,CONSUMER.BO
CONSUMIETF,ICICI Prudential Mutual Fund,BSE,CONSUMIETF.BO
CONTAINE,CONTAINE TECHNOLOGIES LIMITED,BSE,CONTAINE.BO
CONTAINER,Containerway International Limited,BSE,CONTAINER.BO
CONTCHM,Continental Chemicals Ltd.,BSE,CONTCHM.BO
CONTICON,Continental Controls Ltd.,BSE,CONTICON.BO
CONTILI,Contil India Limited,BSE,CONTILI.BO
CONTPTR,Continental Petroleums Ltd.,BSE,CONTPTR.BO
CONTROLPR,Control Print Limited,NSE+BSE,CONTROLPR.NS
CORAGRO,Coromandel Agro Products & Oils Ltd,BSE,CORAGRO.BO
CORALAB,Coral Laboratories Ltd.,BSE,CORALAB.BO
CORALFINAC,Coral India Finance & Housing Limited,NSE+BSE,CORALFINAC.NS
CORDSCABLE,Cords Cable Industries Limited,NSE+BSE,CORDSCABLE.NS
CORNE,Coral Newsprints Ltd.,BSE,CORNE.BO
COROENGG,Coromandel Engineering Company Limited,BSE,COROENGG.BO
COROMANDEL,Coromandel International Limited,NSE+BSE,COROMANDEL.NS
CORONA,CORONA Remedies Limited,NSE+BSE,CORONA.NS
COSCO,Cosco (India) ltd.,BSE,COSCO.BO
COSMICCRF,Cosmic CRF Limited,BSE,COSMICCRF.BO
COSMOFE,Cosmo Ferrites Ltd.,BSE,COSMOFE.BO
COSMOFIRST,COSMO FIRST LIMITED,NSE+BSE,COSMOFIRST.NS
COSPOWER,Cospower Engineering Limited,BSE,COSPOWER.BO
COSYN,COSYN Limited,BSE,COSYN.BO
COTFAB,United Cotfab Limited,BSE,COTFAB.BO
COUNCODOS,Country Condo's Limited,NSE+BSE,COUNCODOS.NS
COVANCE,COVANCE SOFTSOL LIMITED,BSE,COVANCE.BO
COVIDH,COVIDH TECHNOLOGIES LIMITED,BSE,COVIDH.BO
CPCAP,CP Capital Limited,NSE+BSE,CPCAP.NS
CPEDU,Career Point Edutech Limited,NSE+BSE,CPEDU.NS
CPL,CAPTAIN POLYPLAST LIMITED,BSE,CPL.BO
CPML,CITY PULSE MULTIVENTURES LIMITED,BSE,CPML.BO
CPPLUS,Aditya Infotech Limited,NSE+BSE,CPPLUS.NS
CPSEETF,Nippon India Mutual Fund,BSE,CPSEETF.BO
CRAFTSMAN,Craftsman Automation Limited,NSE+BSE,CRAFTSMAN.NS
CRAMC,Canara Robeco Asset Management Company Limited,NSE+BSE,CRAMC.NS
CRANEINFRA,Crane Infrastructure Limited,BSE,CRANEINFRA.BO
CRANESSOFT,Cranes Software International Ltd.,BSE,CRANESSOFT.BO
CRANEX,Cranex Ltd.,BSE,CRANEX.BO
CRAVATEX,Cravatex Ltd.,BSE,CRAVATEX.BO
CREATIVE,Creative Castings Limited,BSE,CREATIVE.BO
CREATIVEYE,Creative Eye Limited,NSE+BSE,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,NSE+BSE,CREDITACC.NS
CRESCENTIS,Crescentis Capital Limited,BSE,CRESCENTIS.BO
CREST,Crest Ventures Limited,NSE+BSE,CREST.NS
CRIMSON,Crimson Metal Engineering Company Ltd,BSE,CRIMSON.BO
CRISIL,CRISIL Limited,NSE+BSE,CRISIL.NS
CRIZAC,Crizac Limited,NSE+BSE,CRIZAC.NS
CROISSANCE,CROISSANCE LIMITED,BSE,CROISSANCE.BO
CROMPTON,Crompton Greaves Consumer Electricals Limited,NSE+BSE,CROMPTON.NS
CROPSTER,CROPSTER AGRO LIMITED,BSE,CROPSTER.BO
CROWN,Crown Lifters Limited,NSE,CROWN.NS
CRSL,CRESSANDA RAILWAY SOLUTIONS LIMITED,BSE,CRSL.BO
CRSTCHM,Crestchem Ltd.,BSE,CRSTCHM.BO
CRYOGENIC,CRYOGENIC OGS LIMITED,BSE,CRYOGENIC.BO
CRYSTAL,CRYSTAL BUSINESS SYSTEM LIMITED,BSE,CRYSTAL.BO
CSBBANK,CSB Bank Limited,NSE+BSE,CSBBANK.NS
CSL,Continental Securities Limited,BSE,CSL.BO
CSLFINANCE,CSL Finance Limited,NSE+BSE,CSLFINANCE.NS
CSURGSU,Centenial Surgical Suture Ltd.,BSE,CSURGSU.BO
CTCL,Captain Technocast Limited,BSE,CTCL.BO
CTE,Cambridge Technology Enterprises Limited,NSE+BSE,CTE.NS
CTL,Capital Trade Links Limited,BSE,CTL.BO
CTLLAB,Clinitech Laboratory Limited,BSE,CTLLAB.BO
CUB,City Union Bank Limited,NSE+BSE,CUB.NS
CUBEXTUB,Cubex Tubings Limited,NSE+BSE,CUBEXTUB.NS
CUBIFIN,Cubical Financial Services Ltd.,BSE,CUBIFIN.BO
CUMMINSIND,Cummins India Limited,NSE+BSE,CUMMINSIND.NS
CUPID,Cupid Limited,NSE+BSE,CUPID.NS
CUPIDALBV,CUPID BREWERIES AND DISTILLERIES LIMITED,BSE,CUPIDALBV.BO
CURAA,Cura Technologies Limited,NSE+BSE,CURAA.NS
CWD,CWD Limited,BSE,CWD.BO
CYBELEIND,Cybele  Industries Limited,BSE,CYBELEIND.BO
CYBERMEDIA,Cyber Media (India) Limited,NSE+BSE,CYBERMEDIA.NS
CYBERTECH,Cybertech Systems And Software Limited,NSE+BSE,CYBERTECH.NS
CYIENT,Cyient Limited,NSE+BSE,CYIENT.NS
CYIENTDLM,Cyient DLM Limited,NSE+BSE,CYIENTDLM.NS
DABUR,Dabur India Limited,NSE+BSE,DABUR.NS
DACHEPALLI,Dachepalli Publishers Limited,BSE,DACHEPALLI.BO
DAICHI,Dai-Ichi Karkaria Limited,NSE+BSE,DAICHI.NS
DAIKAFFI,Daikaffil Chemicals India Ltd.,BSE,DAIKAFFI.BO
DAL,dynamic Archistructures Limited,BSE,DAL.BO
DALBHARAT,Dalmia Bharat Limited,NSE+BSE,DALBHARAT.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE+BSE,DALMIASUG.NS
DAMCAPITAL,Dam Capital Advisors Limited,NSE+BSE,DAMCAPITAL.NS
DAMODARIND,Damodar Industries Limited,NSE+BSE,DAMODARIND.NS
DANGEE,Dangee Dums Limited,NSE,DANGEE.NS
DANLAW,Danlaw Technologies India Ltd.,BSE,DANLAW.BO
DANUBE,DANUBE INDUSTRIES LIMITED,BSE,DANUBE.BO
DAPS,DAPS ADVERTISING LIMITED,BSE,DAPS.BO
DARJEELING,DARJEELING INDUSTRIIES LIMITED,BSE,DARJEELING.BO
DARSHANORNA,Darshan Orna Limited,BSE,DARSHANORNA.BO
DATAMATICS,Datamatics Global Services Limited,NSE+BSE,DATAMATICS.NS
DATAPATTNS,Data Patterns (India) Limited,NSE+BSE,DATAPATTNS.NS
DATIWARE,DATIWARE MARITIME INFRA LIMITED,BSE,DATIWARE.BO
DAULAT,Daulat Securities Ltd.,BSE,DAULAT.BO
DAVANGERE,Davangere Sugar Company Limited,NSE+BSE,DAVANGERE.NS
DAVIN,Davin Sons Retail Limited,BSE,DAVIN.BO
DBCORP,D.B.Corp Limited,NSE+BSE,DBCORP.NS
DBEIL,Deepak Builders & Engineers India Limited,NSE+BSE,DBEIL.NS
DBL,Dilip Buildcon Limited,NSE+BSE,DBL.NS
DBOL,Dhampur Bio Organics Limited,NSE+BSE,DBOL.NS
DBREALTY,Valor Estate Limited,NSE+BSE,DBREALTY.NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,NSE+BSE,DBSTOCKBRO.NS
DCAL,Dishman Carbogen Amcis Limited,NSE+BSE,DCAL.NS
DCBBANK,DCB Bank Limited,NSE+BSE,DCBBANK.NS
DCI,Dc Infotech And Communication Limited,NSE+BSE,DCI.NS
DCM,DCM  Limited,NSE+BSE,DCM.NS
DCMFINSERV,DCM Financial Services Limited,NSE+BSE,DCMFINSERV.NS
DCMNVL,DCM Nouvelle Limited,NSE+BSE,DCMNVL.NS
DCMSHRIRAM,DCM Shriram Limited,NSE+BSE,DCMSHRIRAM.NS
DCMSIL,DCM Shriram International Limited,NSE+BSE,DCMSIL.NS
DCMSRIND,DCM Shriram Industries Limited,NSE+BSE,DCMSRIND.NS
DCW,DCW Limited,NSE+BSE,DCW.NS
DCXINDIA,DCX Systems Limited,NSE+BSE,DCXINDIA.NS
DDEVPLSTIK,Ddev Plastiks Industries Limited,NSE+BSE,DDEVPLSTIK.NS
DECCAN,Deccan Health Care Limited,BSE,DECCAN.BO
DECCANCE,Deccan Cements Limited,NSE+BSE,DECCANCE.NS
DECIPHER,DECIPHER LABS LIMITED,BSE,DECIPHER.BO
DECNGOLD,Deccan Gold Mines Limited,NSE+BSE,DECNGOLD.NS
DECOMIC,Deco-Mica Ltd.,BSE,DECOMIC.BO
DECPO,Deccan Polypacks Ltd,BSE,DECPO.BO
DEEDEV,DEE Development Engineers Limited,NSE+BSE,DEEDEV.NS
DEEP,Deep Polymers Limited,BSE,DEEP.BO
DEEPAI,Deep Health AI India Limited,BSE,DEEPAI.BO
DEEPAKCHEM,DEEPAK CHEMTEX LIMITED,BSE,DEEPAKCHEM.BO
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE+BSE,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Limited,NSE+BSE,DEEPAKNTR.NS
DEEPAKSP,Deepak Spinners Ltd.,BSE,DEEPAKSP.BO
DEEPINDS,Deep Industries Limited,NSE+BSE,DEEPINDS.NS
DEFENCE,Mirae Asset Mutual Fund,BSE,DEFENCE.BO
DEFRAIL,Defrail Technologies Limited,BSE,DEFRAIL.BO
DEL,Dhanashree Electronics Limited,BSE,DEL.BO
DELHIVERY,Delhivery Limited,NSE+BSE,DELHIVERY.NS
DELPHIFX,DELPHI WORLD MONEY LIMITED,NSE+BSE,DELPHIFX.NS
DELTA,Delta Industrial Resources Limited,BSE,DELTA.BO
DELTACORP,Delta Corp Limited,NSE+BSE,DELTACORP.NS
DELTAMAGNT,Delta Manufacturing Limited,NSE+BSE,DELTAMAGNT.NS
DEN,Den Networks Limited,NSE+BSE,DEN.NS
DENISCHEM,Denis Chem Lab Limited,BSE,DENISCHEM.BO
DENORA,De Nora India Limited,NSE+BSE,DENORA.NS
DENTA,Denta Water and Infra Solutions Limited,NSE+BSE,DENTA.NS
DESCO,Desco Infratech Limited,BSE,DESCO.BO
DESHRAK,Desh Rakshak Aushdhalaya Ltd.,BSE,DESHRAK.BO
DESIFARMS,Desi Farms India Limited,BSE,DESIFARMS.BO
DEVINE,Devine Impex Limited,BSE,DEVINE.BO
DEVIT,Dev Information Technology Limited,NSE+BSE,DEVIT.NS
DEVITRD,Devinsu Trading Ltd.,BSE,DEVITRD.BO
DEVLAB,Dev Labtech Venture Limited,BSE,DEVLAB.BO
DEVX,Dev Accelerator Limited,NSE+BSE,DEVX.NS
DEVYANI,Devyani International Limited,NSE+BSE,DEVYANI.NS
DFL,Decillion Finance Ltd.,BSE,DFL.BO
DFPL,DINDIGUL FARM PRODUCT LIMITED,BSE,DFPL.BO
DGCONTENT,Digicontent Limited,NSE+BSE,DGCONTENT.NS
DGL,Diksha Greens Limited,BSE,DGL.BO
DHABRIYA,Dhabriya Polywood Limited,BSE,DHABRIYA.BO
DHAMPURE,Dhampure Speciality Sugars Ltd.,BSE,DHAMPURE.BO
DHAMPURSUG,Dhampur Sugar Mills Limited,NSE+BSE,DHAMPURSUG.NS
DHANBANK,Dhanlaxmi Bank Limited,NSE+BSE,DHANBANK.NS
DHANCOT,Dhanlaxmi Cotex Ltd.,BSE,DHANCOT.BO
DHANFAB,Dhanlaxmi Fabrics Ltd.,BSE,DHANFAB.BO
DHANROTO,Dhanalaxmi Roto Spinners Ltd.,BSE,DHANROTO.BO
DHANSAFAL,DHANSAFAL FINSERVE LIMITED,BSE,DHANSAFAL.BO
DHANUKA,Dhanuka Agritech Limited,NSE+BSE,DHANUKA.NS
DHARFIN,Dharani Finance Ltd.,BSE,DHARFIN.BO
DHARMAJ,Dharmaj Crop Guard Limited,NSE+BSE,DHARMAJ.NS
DHARNI,DHARNI CAPITAL SERVICES LIMITED,BSE,DHARNI.BO
DHATRE,Dhatre Udyog Limited,BSE,DHATRE.BO
DHENUBUILD,Dhenu Buildcon Infra Limited,BSE,DHENUBUILD.BO
DHILLON,Dhillon Freight Carrier Limited,BSE,DHILLON.BO
DHINDIA,D & H India Limited,BSE,DHINDIA.BO
DHOOTIN,Dhoot Industrial Finance Ltd.,BSE,DHOOTIN.BO
DHPIND,DHP India Ltd.,BSE,DHPIND.BO
DHRUV,Dhruv Consultancy Services Limited,NSE+BSE,DHRUV.NS
DHRUVCA,Dhruva Capital Services Ltd.,BSE,DHRUVCA.BO
DHUNINV,Dhunseri Investments Limited,NSE+BSE,DHUNINV.NS
DHYAANITR,DHYAANI TRADEVENTTURES LIMITED,BSE,DHYAANITR.BO
DIACABS,Diamond Power Infrastructure Limited,NSE+BSE,DIACABS.NS
DIAMINESQ,Diamines & Chemicals Limited,NSE+BSE,DIAMINESQ.NS
DIAMONDYD,Prataap Snacks Limited,NSE+BSE,DIAMONDYD.NS
DIANATEA,Diana Tea Co.Ltd.,BSE,DIANATEA.BO
DICIND,DIC India Limited,NSE+BSE,DICIND.NS
DIDL,DALMIA INDUSTRIAL DEVELOPMENT LIMITED,BSE,DIDL.BO
DIFFNKG,Diffusion Engineers Limited,NSE+BSE,DIFFNKG.NS
DIGIDRIVE,Digidrive Distributors Limited,NSE+BSE,DIGIDRIVE.NS
DIGILOGIC,DIGILOGIC SYSTEMS LIMITED,BSE,DIGILOGIC.BO
DIGISPICE,DiGiSPICE Technologies Limited,NSE+BSE,DIGISPICE.NS
DIGITIDE,Digitide Solutions Limited,NSE+BSE,DIGITIDE.NS
DIGJAMLMTD,Digjam Limited,NSE+BSE,DIGJAMLMTD.NS
DIKSAT,Diksat Transworld Limited,BSE,DIKSAT.BO
DILIGENT,Diligent Industries Limited,BSE,DILIGENT.BO
DISAQ,Disa India Limited,NSE+BSE,DISAQ.NS
DISHTV,Dish TV India Limited,NSE+BSE,DISHTV.NS
DITCO,Decorous Investment and Trading Co. Ltd.,BSE,DITCO.BO
DIVGIITTS,Divgi Torqtransfer Systems Limited,NSE+BSE,DIVGIITTS.NS
DIVIDEND,Mirae Asset Mutual Fund,BSE,DIVIDEND.BO
DIVISLAB,Divi's Laboratories Limited,NSE+BSE,DIVISLAB.NS
DIVSHKT,DIVYASHAKTI LIMITED,BSE,DIVSHKT.BO
DIXON,Dixon Technologies (India) Limited,NSE+BSE,DIXON.NS
DJML,DJ Mediaprint & Logistics Limited,NSE+BSE,DJML.NS
DJSSS,DJS Stock & Shares Ltd.,BSE,DJSSS.BO
DKUAL,Dolphin Kitchen Utencils and Appliances Limited,BSE,DKUAL.BO
DLCL,DR LALCHANDANI LABS LIMITED,BSE,DLCL.BO
DLF,DLF Limited,NSE+BSE,DLF.NS
DLINKINDIA,D-Link (India) Limited,NSE+BSE,DLINKINDIA.NS
DLTNCBL,Delton Cables Ltd.,BSE,DLTNCBL.BO
DMART,Avenue Supermarts Limited,NSE+BSE,DMART.NS
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,NSE+BSE,DMCC.NS
DML,Diggi Multitrade Limited,BSE,DML.BO
DMR,DMR ENGINEERING LIMITED,BSE,DMR.BO
DNAMEDIA,Diligent Media Corporation Limited,NSE+BSE,DNAMEDIA.NS
DODLA,Dodla Dairy Limited,NSE+BSE,DODLA.NS
DOLATALGO,Dolat Algotech Limited,NSE+BSE,DOLATALGO.NS
DOLFIN,Dolfin Rubbers Limited,BSE,DOLFIN.BO
DOLLAR,Dollar Industries Limited,NSE+BSE,DOLLAR.NS
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,NSE+BSE,DOLPHIN.NS
DOMS,DOMS Industries Limited,NSE+BSE,DOMS.NS
DONEAR,Donear Industries Limited,NSE+BSE,DONEAR.NS
DPABHUSHAN,D. P. Abhushan Limited,NSE+BSE,DPABHUSHAN.NS
DPL,DIPNA PHARMACHEM LIMITED,BSE,DPL.BO
DPSCLTD,DPSC Limited,NSE,DPSCLTD.NS
DPWIRES,D P Wires Limited,NSE+BSE,DPWIRES.NS
DRA,DRA CONSULTANTS LIMITED,BSE,DRA.BO
DRAGARWQ,Dr Agarwals Eye Hospital Limited,NSE+BSE,DRAGARWQ.NS
DRCSYSTEMS,DRC Systems India Limited,NSE+BSE,DRCSYSTEMS.NS
DREAMFOLKS,Dreamfolks Services Limited,NSE+BSE,DREAMFOLKS.NS
DREDGECORP,Dredging Corporation of India Limited,NSE+BSE,DREDGECORP.NS
DRL,DISHA RESOURCES LIMITED,BSE,DRL.BO
DRONACHRYA,Droneacharya Aerial Innovations Limited,BSE,DRONACHRYA.BO
DRREDDY,Dr. Reddy's Laboratories Limited,NSE+BSE,DRREDDY.NS
DSFCL,DCM Shriram Fine Chemicals Limited,NSE+BSE,DSFCL.NS
DSINVEST,Dalal Street Investments Ltd.,BSE,DSINVEST.BO
DSSL,Dynacons Systems & Solutions Limited,NSE+BSE,DSSL.NS
DTIL,Dhunseri Tea & Industries Limited,NSE+BSE,DTIL.NS
DUCON,Ducon Infratechnologies Limited,NSE+BSE,DUCON.NS
DUKEOFS,Duke Offshore Ltd.,BSE,DUKEOFS.BO
DUNCANENG,Duncan Engineering Limited,BSE,DUNCANENG.BO
DUROPACK,Duropack Ltd,BSE,DUROPACK.BO
DUROPLY,DUROPLY INDUSTRIES LIMITED,BSE,DUROPLY.BO
DUTRON,Dutron  Polymers Ltd.,BSE,DUTRON.BO
DVL,Dhunseri Ventures Limited,NSE+BSE,DVL.NS
DWARKESH,Dwarikesh Sugar Industries Limited,NSE+BSE,DWARKESH.NS
DYCL,Dynamic Cables Limited,NSE+BSE,DYCL.NS
DYNAMATECH,Dynamatic Technologies Limited,NSE+BSE,DYNAMATECH.NS
DYNAMICP,Dynamic Protfolio Management & Serv,BSE,DYNAMICP.BO
DYNAMIND,Dynamic Industries Ltd.,BSE,DYNAMIND.BO
DYNAVSN,Dynavision Limited,BSE,DYNAVSN.BO
DYNPRO,Dynemic Products Limited,NSE+BSE,DYNPRO.NS
E2E,E2E Networks Limited,NSE,E2E.NS
EARKART,EARKART LIMITED,BSE,EARKART.BO
EARTH,Earthstahl & Alloys Limited,BSE,EARTH.BO
EASEMYTRIP,Easy Trip Planners Limited,NSE+BSE,EASEMYTRIP.NS
EASTBUILD,East Buildtech Limited,BSE,EASTBUILD.BO
EASTINDIA,East India Drums and Barrels Manufacturing Limited,BSE,EASTINDIA.BO
EASTRED,Eastern Treads Ltd.,BSE,EASTRED.BO
EASTSILK,Eastern Silk Industries Limited,NSE+BSE,EASTSILK.NS
EASTWEST,EAST WEST FREIGHT CARRIERS LTD,BSE,EASTWEST.BO
EASUN,Easun Capital Markets Limited,BSE,EASUN.BO
EASYFIN,EASY FINCORP LIMITED,BSE,EASYFIN.BO
EBGNG,GNG Electronics Limited,NSE+BSE,EBGNG.NS
EBIX,ERAAYA LIFESPACES LIMITED,BSE,EBIX.BO
ECAPINSURE,Edelweiss Mutual Fund,BSE,ECAPINSURE.BO
ECLERX,eClerx Services Limited,NSE+BSE,ECLERX.NS
ECOBOAR,Ecoboard Industries Ltd,BSE,ECOBOAR.BO
ECOHOTELS,ECO HOTELS AND RESORTS LIMITED,BSE,ECOHOTELS.BO
ECOPLAST,Ecoplast Ltd.,BSE,ECOPLAST.BO
ECORECO,Eco Recycling Limited,BSE,ECORECO.BO
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,NSE+BSE,ECOSMOBLTY.NS
ECS,ECS Biztech Limited,BSE,ECS.BO
ECSTSTL,East Coast Steel Ltd,BSE,ECSTSTL.BO
EDELWEISS,Edelweiss Financial Services Limited,NSE+BSE,EDELWEISS.NS
EDVENSWA,Edvenswa Enterprises Limited,BSE,EDVENSWA.BO
EENTER,E and E ENTERPRISES LIMITED,BSE,EENTER.BO
EFCIL,EFC (I) Limited,NSE+BSE,EFCIL.NS
EFORU,EFORU ENTERTAINMENT LIMITED,BSE,EFORU.BO
EICHERMOT,Eicher Motors Limited,NSE+BSE,EICHERMOT.NS
EIDPARRY,EID Parry India Limited,NSE+BSE,EIDPARRY.NS
EIEL,Enviro Infra Engineers Limited,NSE+BSE,EIEL.NS
EIFFL,Euro India Fresh Foods Limited,NSE,EIFFL.NS
EIGHTY,Eighty Jewellers Limited,BSE,EIGHTY.BO
EIHAHOTELS,EIH Associated Hotels Limited,NSE+BSE,EIHAHOTELS.NS
EIHOTEL,EIH Limited,NSE+BSE,EIHOTEL.NS
EIKO,EIKO LIFESCIENCES LIMITED,BSE,EIKO.BO
EIMCOELECO,Eimco Elecon (India) Limited,NSE+BSE,EIMCOELECO.NS
EKAMLEA,Ekam Leasing & Finance Co. Ltd.,BSE,EKAMLEA.BO
EKANSH,Ekansh Concepts Limited,BSE,EKANSH.BO
EKC,Everest Kanto Cylinder Limited,NSE+BSE,EKC.NS
EKENNIS,Ekennis Software Service Limited,BSE,EKENNIS.BO
EKI,EKI Energy Services Limited,BSE,EKI.BO
ELAND,E-Land Apparel Limited,BSE,ELAND.BO
ELANGO,Elango Industries Ltd,BSE,ELANGO.BO
ELANTAS,Elantas Beck India Limited,NSE+BSE,ELANTAS.NS
ELCIDIN,EL CID Investments Limited,NSE+BSE,ELCIDIN.NS
ELDEHSG,Eldeco Housing And Industries Limited,NSE+BSE,ELDEHSG.NS
ELECON,Elecon Engineering Company Limited,NSE+BSE,ELECON.NS
ELECTCAST,Electrosteel Castings Limited,NSE+BSE,ELECTCAST.NS
ELECTHERM,Electrotherm (India) Limited,NSE+BSE,ELECTHERM.NS
ELEFLOR,Elegant Floriculture & Agrotech (In,BSE,ELEFLOR.BO
ELEMARB,Elegant Marbles & Grani Industries,BSE,ELEMARB.BO
ELFIN,Elfin Agro India Limited,BSE,ELFIN.BO
ELFORGE,El Forge Ltd.,BSE,ELFORGE.BO
ELGIEQUIP,Elgi Equipments Limited,NSE+BSE,ELGIEQUIP.NS
ELGIRUBCO,Elgi Rubber Company Limited,NSE,ELGIRUBCO.NS
ELIN,Elin Electronics Limited,NSE+BSE,ELIN.NS
ELITECON,Elitecon International Limited,NSE+BSE,ELITECON.NS
ELIXIR,Elixir Capital Limited,BSE,ELIXIR.BO
ELLEN,Ellenbarrie Industrial Gases Limited,NSE+BSE,ELLEN.NS
ELNET,Elnet Technologies Ltd.,BSE,ELNET.BO
ELPROINTL,Elpro International Limited,NSE+BSE,ELPROINTL.NS
EMAINDIA,Ema India Ltd.,BSE,EMAINDIA.BO
EMAMILTD,Emami Limited,NSE+BSE,EMAMILTD.NS
EMAMIPAP,Emami Paper Mills Limited,NSE+BSE,EMAMIPAP.NS
EMAMIREAL,Emami Realty Limited,NSE+BSE,EMAMIREAL.NS
EMCURE,Emcure Pharmaceuticals Limited,NSE+BSE,EMCURE.NS
EMERALD,Emerald Finance Limited,BSE,EMERALD.BO
EMERALL,Emerald Leisures Limited,BSE,EMERALL.BO
EMERGENT,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,BSE,EMERGENT.BO
EMIAC,EMIAC TECHNOLOGIES LIMITED,BSE,EMIAC.BO
EMIL,Electronics Mart India Limited,NSE+BSE,EMIL.NS
EMKAY,Emkay Global Financial Services Limited,NSE+BSE,EMKAY.NS
EMMBI,Emmbi Industries Limited,NSE+BSE,EMMBI.NS
EMMESSA,Emmessar Biotech & Nutrition Ltd.,BSE,EMMESSA.BO
EMMFORCE,EMMFORCE AUTOTECH LIMITED,BSE,EMMFORCE.BO
EMMVEE,Emmvee Photovoltaic Power Limited,NSE+BSE,EMMVEE.NS
EMPIND,Empire Industries Ltd.,BSE,EMPIND.BO
EMPOWER,Empower India Limited,NSE+BSE,EMPOWER.NS
EMROCK,EMROCK CORPORATION LIMITED,BSE,EMROCK.BO
EMSLIMITED,EMS Limited,NSE+BSE,EMSLIMITED.NS
EMUDHRA,eMudhra Limited,NSE+BSE,EMUDHRA.NS
ENBETRD,Enbee Trade & Finance Ltd.,BSE,ENBETRD.BO
ENCODE,ENCODE PACKAGING INDIA LIMITED,BSE,ENCODE.BO
ENDURANCE,Endurance Technologies Limited,NSE+BSE,ENDURANCE.NS
ENERGY,Mirae Asset Mutual Fund,BSE,ENERGY.BO
ENERGYDEV,Energy Development Company Limited,NSE+BSE,ENERGYDEV.NS
ENGINERSIN,Engineers India Limited,NSE+BSE,ENGINERSIN.NS
ENIL,Entertainment Network (India) Limited,NSE+BSE,ENIL.NS
ENKEIWHEL,Enkei wheels (India) Limited,BSE,ENKEIWHEL.BO
ENRIN,Siemens Energy India Limited,NSE+BSE,ENRIN.NS
ENTERO,Entero Healthcare Solutions Limited,NSE+BSE,ENTERO.NS
ENTRINT,Enterprise International Limited,BSE,ENTRINT.BO
ENVAIREL,Envair Electrodyne Ltd.,BSE,ENVAIREL.BO
EPACK,EPACK Durable Limited,NSE+BSE,EPACK.NS
EPACKPEB,EPack Prefab Technologies Limited,NSE+BSE,EPACKPEB.NS
EPBIO,EP BIOCOMPOSITES LIMITED,BSE,EPBIO.BO
EPIC,EPIC Energy Ltd.,BSE,EPIC.BO
EPIGRAL,Epigral Limited,NSE+BSE,EPIGRAL.NS
EPL,EPL Limited,NSE+BSE,EPL.NS
EPSOMPRO,Epsom Properties Limited,BSE,EPSOMPRO.BO
EPUJA,EPUJA SPIRITECH LIMITED,BSE,EPUJA.BO
EQUAL200,Mirae Asset Mutual Fund,BSE,EQUAL200.BO
EQUAL50,Mirae Asset Mutual Fund,BSE,EQUAL50.BO
EQUAL50ADD,DSP Mutual Fund,BSE,EQUAL50ADD.BO
EQUILATERA,EQUILATERAL ENTERPRISES LIMITED,BSE,EQUILATERA.BO
EQUIPPP,Equippp Social Impact Technologies Limited,NSE+BSE,EQUIPPP.NS
EQUITASBNK,Equitas Small Finance Bank Limited,NSE+BSE,EQUITASBNK.NS
ERIS,Eris Lifesciences Limited,NSE+BSE,ERIS.NS
ERPSOFT,ERP Soft Systems Ltd.,BSE,ERPSOFT.BO
ESABINDIA,Esab India Limited,NSE+BSE,ESABINDIA.NS
ESAFSFB,ESAF Small Finance Bank Limited,NSE+BSE,ESAFSFB.NS
ESARIND,Esaar (India) Ltd.,BSE,ESARIND.BO
ESCORP,Escorp Asset Management Limited,BSE,ESCORP.BO
ESCORTS,Escorts Kubota Limited,NSE+BSE,ESCORTS.NS
ESENSEX,Edelweiss Mutual Fund,BSE,ESENSEX.BO
ESG,Mirae Asset Mutual Fund,BSE,ESG.BO
ESPIRE,ESPIRE HOSPITALITY LIMITED,BSE,ESPIRE.BO
ESQRMON,Esquire Money Guarantees Ltd,BSE,ESQRMON.BO
ESSARSHPNG,Essar Shipping Limited,NSE+BSE,ESSARSHPNG.NS
ESSENTIA,Integra Essentia Limited,NSE+BSE,ESSENTIA.NS
ESSEX,ESSEX MARINE LIMITED,BSE,ESSEX.BO
ESTER,Ester Industries Limited,NSE+BSE,ESTER.NS
ETERNAL,ETERNAL LIMITED,NSE+BSE,ETERNAL.NS
ETHOSLTD,Ethos Limited,NSE+BSE,ETHOSLTD.NS
